"date","open","high","low","close","volume","turnover","return"
"2016/11/8",2138.454,2154.571,2136.246,2150.302,89087.01,1928616.2,0.00934501310018643
"2016/11/9",2150.623,2154.855,2098.56,2123.845,112080.38,2314158.01,-0.0123801721925911
"2016/11/10",2143.564,2149.088,2138.939,2143.321,90055.59,1867394.85,0.0091283700890763
"2016/11/11",2143.581,2147.107,2125.494,2147.107,123400.71,2595614.27,0.00176485934862303
"2016/11/14",2146.83,2175.253,2146.83,2161.686,138239.4,2948078.66,0.00676711813991293
"2016/11/15",2161.573,2179.3,2152.375,2179.3,135912.29,2794290.95,0.00811525154305759
"2016/11/16",2187.504,2208.98,2182.117,2182.467,157048.67,3318250.94,0.0014521640227656
"2016/11/17",2176.122,2176.122,2157.545,2163.041,93449.11,1957886.3,-0.00894078639624141
"2016/11/18",2164.711,2170.79,2155.235,2157.96,77565.42,1699816.88,-0.00235177096318395
"2016/11/21",2156.461,2162.369,2147.049,2152.602,84753.11,1865141.47,-0.00248598802635502
"2016/11/22",2156.515,2177.651,2146.62,2177.651,111254.62,2412497.76,0.0115694299634068
"2016/11/23",2182.098,2191.261,2163.001,2165.707,150966.72,3392198.62,-0.00549990588286153
"2016/11/24",2159.614,2172.176,2142.949,2146.626,105490.07,2337459.72,-0.00884955986782643
"2016/11/25",2145.97,2167.528,2123.738,2167.528,136085.75,2746472.83,0.00969004052820921
"2016/11/28",2172.973,2175.51,2159.731,2166.045,118464.32,2634025.88,-0.00068442371128441
"2016/11/29",2161.775,2178.189,2153.721,2160.345,146175.37,2956652.92,-0.00263499282219737
"2016/11/30",2157.539,2201.555,2155.241,2183.049,177916.61,3711887.11,0.0104545923268242
"2016/12/1",2181.73,2188.09,2175.495,2181.929,121561.05,2608030.24,-0.00051317556449515
"2016/12/2",2180.385,2186.689,2143.21,2143.452,131191.51,2824502.87,-0.017791734403243
"2016/12/5",2129.245,2162.304,2124.753,2143.878,102829.46,2118562.95,0.000198725081299145
"2016/12/6",2149.752,2156.693,2121.248,2122.259,97337.45,2120550.71,-0.0101352511953081
"2016/12/7",2123.552,2134.987,2116.541,2134.987,82941.82,1597672.11,0.0059794702599385
"2016/12/8",2135.792,2136.259,2114.038,2114.711,92506.65,1783672.97,-0.00954239753334818
"2016/12/9",2114.447,2118.628,2097.094,2099.888,101826.85,2051401.8,-0.00703415016195574
"2016/12/12",2095.584,2096.401,1981.172,1984.395,161392.22,3084186.87,-0.0565699281854846
"2016/12/13",1982.078,1995.351,1961.908,1985.043,97840.18,1831736.3,0.000326494584752979
"2016/12/14",1982.98,1988.458,1958.038,1963.08,84142.89,1516514.44,-0.0111259079610972
"2016/12/15",1957.714,1991.319,1956.551,1975.853,88354.05,1591598.25,0.00648553543390751
"2016/12/16",1977.863,2005.276,1972.215,1998.113,77314.69,1455642.73,0.0112030313378062
"2016/12/19",1995.003,1995.003,1976.77,1980.41,62914.67,1134235.05,-0.00889934120632141
"2016/12/20",1981.693,1989.986,1974.928,1982.297,59391.41,1089181.73,0.000952379342015419
"2016/12/21",1987.758,1996.103,1985.054,1991.696,60431.99,1124413.84,0.00473026375513097
"2016/12/22",1993.037,1993.037,1978.745,1986.274,58200.64,1074885.01,-0.00272601520757831
"2016/12/23",1987.728,1992.207,1964.232,1964.541,71951.53,1298065.99,-0.0110018916178145
"2016/12/26",1959.185,1974.01,1933.523,1974.01,77084.27,1448526.63,0.00480837660549938
"2016/12/27",1972.506,1977.315,1968.566,1968.62,63478.49,1156183.76,-0.00273421718900568
"2016/12/28",1968.147,1971.514,1954.957,1957.155,60057.5,1080184.59,-0.00584090152650152
"2016/12/29",1956.72,1971.943,1955.624,1959.24,67599.31,1230533.28,0.00106475480485546
"2016/12/30",1961.218,1964.701,1952.684,1962.059,72565.85,1304495.79,0.00143778910286052
"2017/1/3",1965.041,1971.914,1959.139,1963.255,73279.97,1349364,0.000609378020209661
"2017/1/4",1963.024,1992.759,1959.574,1991.565,99668.4,1860457.74,0.014316951754461
